%# iteration evaluations sigma axisratio fitness_of(bestever best median worst) mindii idxmaxSD maxSD idxminSD minSD (randomSeed=1453126985801, Mon Jan 18 15:23:05 CET 2016)

1 10 0.18100398898548078 1.0 16.37610958040807 16.37610958040807 35.487807061711756 130.37077518400469 1.0 9 0.1831939952642543 3 0.17842282339935409
2 20 0.16346099616204132 1.0385942300608784 16.37610958040807 25.50042247442011 71.33113230202217 122.99557760710304 0.983634401209695 9 0.16391931116400407 5 0.15914000276458887
3 30 0.1627649171958001 1.0483825474173132 16.37610958040807 27.253702145965335 40.579619113782826 73.07175797753135 0.9677026862820949 1 0.16306519772616154 5 0.15706221987599017
4 40 0.14753625034630327 1.1009207085063843 16.37610958040807 25.689942976328958 49.089100003525544 61.49596898776467 0.9526238500188354 1 0.14648829873343003 3 0.1407602599468311
7 70 0.11336021400192135 1.1358024838239356 12.891282592669702 15.8176890109911 21.59160092512971 40.3305184793419 0.9154185633951913 1 0.11151496612702441 6 0.10567588372371266
10 100 0.07892296467933564 1.1458134719961324 11.206686728372466 11.206686728372466 15.701629616896508 21.98564563467836 0.8840441400223579 1 0.07491277870516877 8 0.07134966519695359
14 140 0.05780823172929115 1.181941547849622 10.630654794599486 10.650162949946626 12.861315359398654 18.45191653055785 0.8466563469440007 1 0.05572560758768855 6 0.05047627872284876
18 180 0.052106727719018205 1.2751765228826621 9.982179948589641 10.655566059392243 11.656959063830447 13.188588140531438 0.8199988006792065 1 0.05322817349621153 3 0.0440478419729051
23 230 0.03687853897042323 1.3625897723911171 9.114536730423108 9.486854775349373 9.793231311205064 10.275475088924997 0.7818193771428695 1 0.03942499375674312 3 0.029848239867957448
28 280 0.02397631376243713 1.4739915941899158 9.114536730423108 9.120722038378936 9.356022822968106 9.731685281874014 0.741310298322693 1 0.026331405664009617 8 0.01852133511504383
34 340 0.01651502340865084 1.639288369588327 8.929351697497243 8.929351697497243 9.083613391004649 9.380459551418536 0.6983919986207056 1 0.01876314585423888 2 0.012221122653735034
